decimalLatitude,decimalLongitude,species,eventDate,dateIdentified,depth
21.8272,-159.479,Zanclus cornutus,2012-04-30T00:56Z,2012-04-30T00:00:00,9.3
-27.5276,32.6859,Gymnothorax eurostus,2012-12-24T10:03Z,2012-12-24T00:00:00,10.55
20.6946,-156.451,Mulloidichthys vanicolensis,2009-02-24T07:00Z,2009-02-24T00:00:00,6.1
21.0917,-86.6832,Hypanus americanus,2009-12-28T11:00Z,2009-12-28T00:00:00,13.715
20.7329,-156.906,,2010-06-19T08:00Z,2010-06-19T00:00:00,7.625
9.95566,123.401,Antennatus dorehensis,2012-12-11T10:30Z,2012-12-11T00:00:00,10.0
21.8272,-159.479,Chaetodon quadrimaculatus,2012-04-30T00:56Z,2012-04-30T00:00:00,9.3
20.6946,-156.451,Cephalopholis argus,2009-02-24T07:00Z,2009-02-24T00:00:00,6.1
20.7329,-156.906,Novaculichthys taeniourus,2010-06-19T08:00Z,2010-06-19T00:00:00,7.625
21.0917,-86.6832,Gymnothorax moringa,2009-12-28T11:00Z,2009-12-28T00:00:00,13.715
-27.5276,32.6859,Amphitretus pelagicus,2012-12-23T11:19Z,2012-12-23T00:00:00,11.55
42.1134,8.61864,Thalassoma hardwicke,2009-07-13T14:00Z,2009-07-13T00:00:00,9.0
20.6946,-156.451,Hemitaurichthys polylepis,2009-02-24T07:00Z,2009-02-24T00:00:00,6.1
20.7329,-156.906,Ostracion meleagris,2010-06-19T08:00Z,2010-06-19T00:00:00,7.625
-27.5276,32.6859,Antennatus tuberosus,2012-12-23T11:19Z,2012-12-23T00:00:00,11.55
21.0917,-86.6832,Dardanus fucosus,2009-12-28T11:00Z,2009-12-28T00:00:00,13.715
42.1134,8.61864,Chromis chromis,2009-07-13T10:00Z,2009-07-13T00:00:00,7.0
20.6946,-156.451,Heniochus diphreutes,2009-02-24T07:00Z,2009-02-24T00:00:00,6.1
20.7329,-156.906,Coris pictoides,2010-06-19T08:00Z,2010-06-19T00:00:00,7.625
21.0917,-86.6832,Coenobita clypeatus,2009-12-28T11:00Z,2009-12-28T00:00:00,13.715
-27.5276,32.6859,Gymnothorax eurostus,2012-12-23T11:19Z,2012-12-23T00:00:00,11.55
19.3619,-81.3995,Condylactis gigantea,2012-11-26T14:00Z,2012-11-26T00:00:00,9.145
20.6946,-156.451,Melichthys vidua,2009-02-24T07:00Z,2009-02-24T00:00:00,6.1
20.7329,-156.906,,2010-06-19T08:00Z,2010-06-19T00:00:00,7.625
21.1407,-86.7213,Chelonia mydas,2009-12-28T09:30Z,2009-12-28T00:00:00,6.86
