scientificName,taxonKey,Common Name
"Arothron diadematus (Rüppell, 1829)",2407403,masked puffer
"Gymnothorax buroensis (Bleeker, 1857)",2403955,Latticetail moray
"Parachela oxygastroides (Bleeker, 1852)",5206708,Glass barb
"Epinephelus merra Bloch, 1793",2388193,Birdwire rockcod
"Ostracion cubicus Linnaeus, 1758",5213766,Boxfish
"Epinephelus stictus Randall & Allen, 1987",2388336,Black-dotted grouper
"Pomacentrus bankanensis Bleeker, 1854",2398294,Speckled damsel
"Chaetodon fasciatus Forsskål, 1775",2385538,Diagonal butterflyfish
"Coris julis (Linnaeus, 1758)",5209780,African rainbow wrasse
"Fistularia commersonii Rüppell, 1838",5200938,Cornetfish
"Dasyatis brevicaudatus (Hutton, 1875)",2419490,short-tail stingray
"Scarus guacamaia Cuvier, 1829",2393779,Blue rainbow
"Gnathanodon speciosus (Forsskål, 1775)",2391331,Banded horse mackerel
"Myliobatis goodei Garman, 1885",2419318,Southern eagle ray
"Acanthurus nigrofuscus (Forsskål, 1775)",5209227,Brown surgeonfish
"Carangoides ruber (Bloch, 1793)",5210567,bar jack
"Parribacus antarcticus (Lund, 1793)",2221751,sculptured mitten lobster
"Pomacentrus brachialis Cuvier, 1830",2398325,Charcoal damsel
"Aetobatus flagellum (Bloch & Schneider, 1801)",2419243,Longheaded eagle ray
"Fistularia petimba Lacepède, 1803",5200931,Cornet Fish
"Condylactis gigantea (Weinland, 1860)",2256741,Atlantic anemone
"Muraena retifera Goode & Bean, 1882",2404310,Reticulate moray
"Scarus coelestinus Valenciennes, 1840",2393609,Midnight parrotfish
"Hexabranchus sanguineus (Rüppell & Leuckart, 1830)",5724734,Bloody Spanish Dancer
"Ambassis miops Günther, 1872",2387328,Flag-tailed glass perchlet
"Pomacanthus annularis (Bloch, 1787)",2396404,Bluering angelfish
"Opistognathus aurifrons (Jordan & Thompson, 1905)",2391774,Yellowhead jawfish
"Epinephelus analogus Gill, 1863",2388598,Cabrilla
"Haemulon sciurus (Shaw, 1803)",2382543,Bluestriped grunt
"Diodon hystrix Linnaeus, 1758",5213374,Ajargo
"Gymnura marmorata (Cooper, 1864)",5216224,California butterfly ray
"Seriola fasciata (Bloch, 1793)",5961709,Lesser amberjack
"Parapercis cylindrica (Bloch, 1792)",5209970,Sharpnose sandperch
"Cyclichthys spilostylus (Leis & Randall, 1982)",2406520,Spotbase burrfish
"Xestospongia testudinaria (Lamarck, 1815)",2246291,barrel sponge
"Sphyraena lucasana Gill, 1863",2394237,Cortez barracuda
"Chaetodon striatus Linnaeus, 1758",7906686,Banded butterflyfish
"Cymbacephalus beauforti (Knapp, 1973)",2335642,Crocodile fish
"Cephalopholis cruentata (Lacepède, 1802)",2388866,Graysby
"Carcharhinus acronotus (Poey, 1860)",2418144,Blacknose shark
"Gymnothorax thyrsoideus (Richardson, 1845)",2403908,Greyface moray
"Chaetodon austriacus Rüppell, 1836",2385336,Exquisite butterflyfish
"Tarpon Jordan & Evermann, 1896",2346648,No common name found
"Parapercis hexophtalma (Cuvier, 1829)",5210026,Black-tail grubfish
"Sphoeroides parvus Shipp & Yerger, 1969",2407855,Least Puffer
"Gorgonia ventalina Linnaeus, 1758",5185376,common sea fan
"Cancer productus Randall, 1840",2222079,red rock crab
"Synodus variegatus (Lacepède, 1803)",5212639,No common name found
"Mulloidichthys vanicolensis (Valenciennes, 1831)",2396852,Banded goatfish
"Albula vulpes (Linnaeus, 1758)",5204104,Bananafish
"Balistoides viridescens (Bloch & Schneider, 1801)",2407133,Blue-finned triggerfish
"Scorpaena scrofa Linnaeus, 1758",2334574,Bigscale scorpionfish
"Thunnus thynnus (Linnaeus, 1758)",2373980,Atlantic bluefin tuna
"Pseudanthias fasciatus (Kamohara, 1955)",2387600,One-stripe anthias
"Sebastes chrysomelas (Jordan & Gilbert, 1881)",2335502,black-and-yellow rockfish
"Haploblepharus edwardsii (Schinz, 1822)",2418609,Puffadder shyshark
"Chlorurus microrhinos (Bleeker, 1854)",5211130,Gibbus parrotfish
"Haliphron atlanticus Steenstrup, 1861",2289216,Seven-arm octopus
"Pseudorhombus argus Weber, 1913",2408818,Peacock flounder
"Epinephelus polyphekadion (Bleeker, 1849)",2388423,Camouflage grouper
"Diodon holocanthus Linnaeus, 1758",5213361,Balloonfish
"Periclimenes pedersoni Chace, 1958",2225154,Pederson cleaner shrimp
"Lactophrys triqueter (Linnaeus, 1758)",2408093,Glatter Kofferfisch
"Owenia fusiformis Delle Chiaje, 1844",5199345,tubeworm
"Leptasterias hexactis (Stimpson, 1862)",2273926,No common name found
Phocidae,5310,earless seals
"Gadus morhua Linnaeus, 1758",8084280,Atlantic cod
"Bothus podas (Delaroche, 1809)",5213852,Butt
"Colpophyllia natans (Houttuyn, 1772)",2260043,boulder brain coral
"Stenorhynchus lanceolatus (Brullé, 1837)",5729748,No common name found
"Arbacia punctulata (Lamarck, 1816)",2278769,purple-spined sea urchin
"Hemigrapsus oregonensis (Dana, 1851)",2225774,yellow shore crab
"Chrysaora hysoscella (Linnaeus, 1767)",5185425,Compass Jellyfish
"Haemulon flavolineatum (Desmarest, 1823)",2382521,French grunt
"Diploria strigosa (Dana, 1846)",2260166,symmetrical brain coral
"Nicholsina usta (Valenciennes, 1840)",4285799,Emerald parrotfish
"Lagocephalus laevigatus (Linnaeus, 1766)",2407750,No common name found
"Acanthocybium solandri (Cuvier, 1832)",2374069,Barracuda
"Nembrotha Bergh, 1877",2291834,No common name found
"Pontinus sierra (Gilbert, 1890)",2334715,Speckled scorpionfish
"Hydrolagus colliei (Lay & Bennett, 1839)",5215461,Chimaera
"Limatula regularis A.E.Verrill & K.J.Bush, 1898",2288726,regular fileclam
"Pseudolabrus japonicus (Houttuyn, 1782)",2383769,No common name found
"Flabellina iodinea (J.G.Cooper, 1863)",5190137,Spanish shawl
"Platygyra sinensis (Milne Edwards & Haime, 1849)",5184731,lesser valley coral
"Sparisoma viride (Bonnaterre, 1788)",2393894,Dark green parrotfish
"Gymnothorax javanicus (Bleeker, 1859)",2403808,Giant moray
"Himantura jenkinsi (Annandale, 1909)",5215914,Jenkins whipray
"Scorpaenichthys marmoratus (Ayres, 1854)",5201222,Cabezon
"Cypraecassis testiculus (Linnaeus, 1758)",2299623,reticulate cowrie-helmet
Melongenidae,6774,crown shells
"Apogon lativittatus Randall, 2001",5211666,Broadstripe Cardinalfish
"Chlorurus perspicillatus (Steindachner, 1879)",5211123,Spectacled parrotfish
"Paralabrax nebulifer (Girard, 1854)",2387738,Barred sand bass
"Sebastapistes strongia (Cuvier, 1829)",5201245,Barchin scorpionfish
"Paracentrotus lividus (Lamarck, 1816)",2278845,Rock Urchin
"Illex illecebrosus (Lesueur, 1821)",9558545,northern shortfin squid
"Plectropomus laevis (Lacepède, 1801)",5210141,Blacksaddled coralgrouper
"Epinephelus striatus (Bloch, 1792)",2388300,Grouper
"Ophiodon elongatus Girard, 1854",2336521,Lingcod
"Ophiothrix fragilis (Abildgaard, 1789)",5187835,common brittlestar
"Scarus rubroviolaceus Bleeker, 1847",2393790,Ember parrotfish
"Corythoichthys flavofasciatus (Rüppell, 1838)",2333138,Network pipefish
"Gramma loreto Poey, 1868",2380558,Fairy basslet
"Holothuria impatiens (Forsskål, 1775)",2279182,Impatient Sea Cucumber
"Citharichthys stampflii (Steindachner, 1894)",2408728,Smooth flounder
"Carangoides Bleeker, 1851",2390889,Island Jacks
"Halichoerus grypus (Fabricius, 1791)",2434806,Gray Seal
"Zanclus cornutus (Linnaeus, 1758)",2374663,Halfterfisch
"Gymnothorax prasinus (Richardson, 1848)",2404101,Yellow moray
"Sepioteuthis sepioidea (Blainville, 1823)",2290426,Caribbean reef squid
